Måned,Gjennomsnittlig Last
1,19881.14478494624
2,19411.15693452381
3,17029.561914954338
4,15084.974767361111
5,13551.68354502688
6,12772.582027777778
7,12119.086579301074
8,12982.595561155915
9,13420.388784722223
10,15197.09095766129
11,17609.055159722222
12,18153.671893710056
